symbol,name_ar,index_code,index_name,membership_status,effective_date,review_cycle,source_url,last_reviewed,confidence,notes
2320,شركة البابطين للطاقة والإتصالات,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2330,الشركة المتقدمة للبتروكيماويات,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2340,شركة ارتيكس للاستثمار الصناعي,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2350,شركة كيان السعودية للبتروكيماويات,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2360,الشركة السعودية لإنتاج الأنابيب الفخارية,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2370,شركة الشرق الأوسط للكابلات المتخصصة,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2380,بترو رابغ,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2381,الحفر العربية,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
2382,أديس,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
3001,شركة أسمنت حائل,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
3002,شركة أسمنت نجران,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
3003,شركة أسمنت المدينة,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
3004,شركة أسمنت المنطقة الشمالية,TASI,Tadawul All Share Index,needs_verification,,quarterly,https://www.saudiexchange.sa/wps/portal/saudiexchange/markets/indices,2026-06-28,low,عضوية TASI بانتظار لقطة رسمية مؤرخة للمكونات.
